Run,Std_Dev_s,Avg_Turn_s,Throughput_tps,Avg_Latency_s,Avg_Context_Switches,Total_Context_Switches
Run 01 (Warm-up),0.0128,1.3831,713.245,0.0037,2.2,2241
Run 02,0.0127,1.1391,862.9758,0.0019,2.2,2217
Run 03,0.0129,1.1347,866.3197,0.0019,2.3,2276
Run 04,0.0142,1.1501,853.9482,0.002,2.2,2237
Run 05,0.0131,1.1431,859.4244,0.0014,2.2,2242
Run 06,0.0133,1.1404,861.3797,0.0021,2.2,2244
Run 07,0.0126,1.1345,866.8966,0.002,2.2,2224
Run 08,0.0129,1.1457,858.4719,0.0016,2.2,2219
Run 09,0.0133,1.13,869.8376,0.0023,2.3,2262
Run 10,0.0133,1.1352,865.5808,0.0025,2.3,2251
Run 11,0.0134,1.2163,808.7048,0.002,2.2,2242
